model_type,frame_width,patch_size,final_mean_distance_mm,median_mm,p95_mm,note
single_stage,40,15x15x15,1.64,1.49,2.98,Best single-stage setting reported in dissertation/project notes
two_stage,30,15x15x15 -> fixed second stage,1.63,1.43,3.09,Best two-stage configuration reported in dissertation/project notes
