comparison_group,metric,v1,v2,v3,v4,v5
HX1&YJ2,mean,1.4,1.4,1.3,1.3,1.3
HX2&YJ1,mean,1.7,1.5,1.5,1.5,1.5
HX1&YJ2,median,1.3,1.3,1.2,1.2,1.2
HX2&YJ1,median,1.5,1.5,1.5,1.5,1.5
HX1&YJ2,95th_percentile,2.3,2.2,2.0,2.0,1.9
HX2&YJ1,95th_percentile,2.6,2.4,2.1,2.1,2.1
