point,HX1_YJ2_v5_mm,HX2_YJ1_v5_mm
pt 0,1.09,1.38
pt 1,1.02,1.08
pt 2,1.04,1.19
pt 3,1.72,1..79
pt 4,0.89,1.06
pt 5,1.06,1.13
pt 6,1.06,1.27
pt 7,1.05,1.31
pt 8,1.42,1.75
pt 9,0.99,1.06
pt 10,0.93,1.03
pt 11,1.19,1.23
pt 12,1.82,2.26
pt 13,1.8,2.06
pt 14,1.77,2.22
pt 15,1.83,2.2
